Time (Microseconds),pid,Order
126,0,1
203,0,2
203,0,3
204,0,4
204,0,5
204,0,6
204,0,7
204,0,8
205,0,9
205,0,10
205,0,11
205,0,12
205,0,13
205,0,14
205,0,15
206,0,16
206,0,17
206,0,18
206,0,19
206,0,20
206,0,21
207,0,22
207,0,23
207,0,24
207,0,25
207,0,26
207,0,27
208,0,28
208,0,29
208,0,30
208,0,31
208,0,32
208,0,33
208,0,34
209,0,35
209,0,36
209,0,37
209,0,38
209,0,39
209,0,40
210,0,41
210,0,42
210,0,43
210,0,44
210,0,45
210,0,46
211,0,47
211,0,48
211,0,49
211,0,50
211,0,51
211,0,52
211,0,53
212,0,54
212,0,55
212,0,56
212,0,57
212,0,58
212,0,59
213,0,60
213,0,61
213,0,62
213,0,63
213,0,64
213,0,65
213,0,66
214,0,67
214,0,68
214,0,69
214,0,70
214,0,71
214,0,72
215,0,73
215,0,74
215,0,75
215,0,76
215,0,77
215,0,78
215,0,79
216,0,80
216,0,81
216,0,82
216,0,83
216,0,84
216,0,85
217,0,86
217,0,87
217,0,88
217,0,89
217,0,90
217,0,91
217,0,92
218,0,93
218,0,94
218,0,95
218,0,96
218,0,97
218,0,98
219,0,99
219,0,100
219,0,101
219,0,102
219,0,103
219,0,104
219,0,105
220,0,106
220,0,107
220,0,108
220,0,109
220,0,110
220,0,111
221,0,112
221,0,113
221,0,114
221,0,115
221,0,116
221,0,117
221,0,118
222,0,119
222,0,120
222,0,121
222,0,122
222,0,123
222,0,124
223,0,125
223,0,126
223,0,127
223,0,128
223,0,129
223,0,130
223,0,131
224,0,132
224,0,133
224,0,134
224,0,135
224,0,136
224,0,137
225,0,138
225,0,139
225,0,140
225,0,141
225,0,142
225,0,143
225,0,144
226,0,145
226,0,146
226,0,147
226,0,148
226,0,149
226,0,150
227,0,151
227,0,152
227,0,153
227,0,154
227,0,155
227,0,156
227,0,157
228,0,158
228,0,159
228,0,160
228,0,161
228,0,162
228,0,163
229,0,164
229,0,165
229,0,166
229,0,167
229,0,168
229,0,169
229,0,170
230,0,171
230,0,172
230,0,173
230,0,174
230,0,175
230,0,176
231,0,177
231,0,178
231,0,179
231,0,180
231,0,181
231,0,182
231,0,183
232,0,184
232,0,185
232,0,186
232,0,187
232,0,188
232,0,189
233,0,190
233,0,191
233,0,192
233,0,193
233,0,194
233,0,195
233,0,196
234,0,197
234,0,198
234,0,199
234,0,200
234,0,201
234,0,202
235,0,203
235,0,204
235,0,205
235,0,206
235,0,207
235,0,208
235,0,209
236,0,210
236,0,211
236,0,212
236,0,213
236,0,214
236,0,215
237,0,216
237,0,217
237,0,218
237,0,219
237,0,220
237,0,221
237,0,222
238,0,223
238,0,224
238,0,225
238,0,226
238,0,227
238,0,228
238,0,229
239,0,230
239,0,231
239,0,232
239,0,233
239,0,234
239,0,235
240,0,236
240,0,237
240,0,238
240,0,239
240,0,240
240,0,241
241,0,242
241,0,243
241,0,244
241,0,245
241,0,246
241,0,247
241,0,248
242,0,249
